Rank,A check,équipe,Flag,ID,Auto: dernière MAJ,state,az,ae,1st match,1,rnd1,V/D,Date-2,2,rnd2,V/D,Date-4,3,rnd3,V/D,Date-6,4,rnd4,V/D,Date-8,5,rnd5,V/D,Date-10,6,rnd6,V/D,Date-12,7,rnd7,V/D,Date-14,8,rnd8,V/D,Date D-16,9,rnd9,V/D,Date D-18,10,rnd10,V/D,Date D-20,11,rnd11,V/D,Date D-22,12,rnd12,V/D,Date D-24,13,rnd13,V/D,Date D-26,14,rnd14,V/D,Date D-28,15,rnd15,V/D,Date D-30,16,rnd16,V/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trophées,Victoire / défaite,Date archivée,horaire J-2,trophées,Victoire / défaite
72,3,ChavoRRojos🇲🇽,🇲🇽,21,2 545,,,,03/07/2023,334,334,V,05/07/2023,2 211,2 545,V,07/07/2023,0,,,09/07/2023,0,6361,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,COIO3,🇷🇺,22,4 617,,,,03/07/2023,2 521,2521,V,05/07/2023,2 096,4 617,V,07/07/2023,0,,,09/07/2023,0,10437,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3,CrazyHungarian,🇭🇺,23,4 182,,,,03/07/2023,2 754,2 754,V,05/07/2023,1 428,4 182,V,07/07/2023,0,,,09/07/2023,0,7474,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3,CubanSUGΔ®🇨🇺,🇨🇺,24,3 572,,,,03/07/2023,1 394,1 394,D,05/07/2023,2 178,3 572,D,07/07/2023,0,,,09/07/2023,0,7208,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3,Cyprus🇨🇾🚘🇬🇷,🇨🇾,25,2 897,,,,03/07/2023,1 309,1 309,V,05/07/2023,1 588,2 897,V,07/07/2023,0,,,09/07/2023,0,5757,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,DIRTY TORQUE,🇬🇧,26,6 335,,,,03/07/2023,4 168,4 168,D,05/07/2023,2 167,6 335,D,07/07/2023,0,,,09/07/2023,0,10832,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,Discord,🇦🇶,27,6 186,,,,03/07/2023,2 404,2 404,V,05/07/2023,3 782,6 186,D,07/07/2023,0,,,09/07/2023,0,13730,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,Discord 3™,🇦🇶,28,0,,,,03/07/2023,1 899,1899,D,05/07/2023,-1899,,V,07/07/2023,0,,,09/07/2023,0,5624,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,E M P I R Ξ,🌍,29,0,,,,03/07/2023,4 204,4 204,D,05/07/2023,-4 204,,V,07/07/2023,0,,,09/07/2023,0,,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3,E M P I R Ξ ²,🌍,30,0,,,,03/07/2023,2 886,2886,D,05/07/2023,-2886,,V,07/07/2023,0,,,09/07/2023,0,,,11/07/2023,0,,,13/07/2023,0,,,15/07/2023,0,,,17/07/2023,0,,,19/07/2023,0,,,21/07/2023,0,,,23/07/2023,0,,#N/A,25/07/2023,0,,#N/A,27/07/2023,0,,#N/A,29/07/2023,0,,,31/07/2023,0,,,02/08/2023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
